signal,n,min,p05,p10,p25,p50,p75,p90,p95,p99,max,mean,std
cpi_z,4317,-6.191351322438836,-2.3415716192149825,-1.9137978028659623,-1.1105395481318028,-0.21349181486421384,1.1578110153313295,1.851806339691634,2.2083733503483205,2.916861645986028,4.707759044465312,-0.05187516973166786,1.4447478762533492
credit_spread,4317,1.36,1.58,1.7,1.91,2.28,2.82,3.194000000000001,3.32,4.840400000000009,5.88,2.4115520037062774,0.6331000052727528
t10y2y,4317,-1.08,-0.48,-0.3,0.28,0.98,1.76,2.46,2.66,2.82,2.91,1.0451679406995598,0.9701369063502264
vix,4317,9.14,11.47,12.37,13.95,17.07,21.89,27.854000000000003,32.14199999999999,42.21640000000003,82.69,18.895793375028955,7.091332800131913
dist_ma200_QQQ,4317,-0.23706915928585381,-0.07789051935546824,-0.03293521923568683,0.03589982894815247,0.08604940241939674,0.12289172399387804,0.16252041814835558,0.1977181377323918,0.240555502438724,0.330842780046088,0.07463731069272883,0.08072484423820057
