crisis,type,n_days,cpi_z,credit_spread,t10y2y,vix,dist_ma200_QQQ
2008 GFC (신용),credit,74,0.0,1.0,0.0,1.0,0.36486486486486486
2011 유럽 부채 (신용),credit,127,0.031496062992125984,0.0,0.0,0.8346456692913385,0.25984251968503935
2015-16 차이나 (성장),growth,145,0.0,0.12413793103448276,0.0,0.35172413793103446,0.32413793103448274
2018 Q4 (긴축),rate,63,0.0,0.0,0.0,0.31746031746031744,0.47619047619047616
2020 COVID (패닉),panic,72,0.0,0.2361111111111111,0.0,0.9444444444444444,0.2361111111111111
2022 인플레이션,inflation,209,0.0,0.0,0.40669856459330145,0.7990430622009569,0.8325358851674641
