,cpi_z,credit_spread,t10y2y,vix,dist_ma200_QQQ
cpi_z,1.0,-0.14824795515238096,-0.14727091240959256,0.005103288282043934,0.14905002289630037
credit_spread,-0.14824795515238096,1.0,-0.5670502090800074,0.4332999005502872,0.20721251220317302
t10y2y,-0.14727091240959256,-0.5670502090800074,1.0,-0.06150841460301299,0.15375303577107988
vix,0.005103288282043934,0.4332999005502872,-0.06150841460301299,1.0,0.3968916643573562
dist_ma200_QQQ,0.14905002289630037,0.20721251220317302,0.15375303577107988,0.3968916643573562,1.0
