signal,threshold,direction,overall_rate,recall,precision,fpr
cpi_z,2.3,gt,0.0423905489923558,0.005797101449275362,0.02185792349726776,0.029791459781529295
credit_spread,3.5,gt,0.02895529302756544,0.15797101449275364,0.872,0.0
t10y2y,0.0,lt,0.12647671994440585,0.12318840579710146,0.15567765567765568,0.16484607745779542
vix,22.0,gt,0.24577252721797543,0.7043478260869566,0.4580584354382658,0.014895729890764648
dist_ma200_QQQ,-0.03,lt,0.10377577021079454,0.4753623188405797,0.7321428571428571,0.0
